Reference, Value, Footprint, Datasheet, Description, Supplier_Name, RS Part Number, Manufacturer_Name, Manufacturer_Part_Number, Height
"IC1","ADA4891-1ARJZ-R7","mylib2:SOT95P280X145-5N_small","http://www.analog.com/media/en/technical-documentation/data-sheets/ADA4891-1_4891-2_4891-3_4891-4.PDF","Op Amp Single CMOS 220MHz 2.7-5.5V SOT23 Analog Devices ADA4891-1ARJZ-R7 Operational Amplifier CMOS, 25MHz Rail-Rail, 2.7  5.5 V, 5-Pin SOT-23","RS","7592682","Analog Devices","ADA4891-1ARJZ-R7","1.45"
"IC2","LTC5507ES6#TRMPBF","mylib2:SOT95P280X100-6N_small","http://docs-europe.electrocomponents.com/webdocs/05b0/0900766b805b01fd.pdf","LTC5507ES6#TRMPBF, RF Controller 6-Pin TSOT-23","RS","5062097","Linear Technology","LTC5507ES6#TRMPBF","1"
"Q1","BU5265HFV-TR","mylib2:HVSOF5_longpad","http://rohmfs.rohm.com/en/products/databook/datasheet/ic/amp_linear/comparator/bu5265xxx-e.pdf","Analog Comparators 4V Drive Nch MOSFET","RS","","ROHM Semiconductor","BU5265HFV-TR",""
"R3","100k","mylib:R_0402_NoSilk_F.Mask",""
"R2","100k","mylib:R_0402_NoSilk_F.Mask",""
"R4","470k","mylib:R_0402_NoSilk_F.Mask",""
"R1","22k","mylib:R_0402_NoSilk_F.Mask",""
"C7","10n","mylib:C_0402_NoSilk_F.Mask",""
"C3","10n","mylib:C_0402_NoSilk_F.Mask",""
"R9","22k","mylib:R_0402_NoSilk_F.Mask",""
"R11","470k","mylib:R_0402_NoSilk_F.Mask",""
"C9","10u","mylib:C_0402_NoSilk_F.Mask",""
"J2","CONN_01X02_MALE","mylib:SL-102-X-XX_1x02_1.3mm",""
"J1","CONN_01X01_MALE","Wire_Pads:SolderWirePad_single_2mmDrill",""
"C5","0.1u","mylib:C_0402_NoSilk_F.Mask",""
"J3","CONN_01X02_MALE","mylib:SL-102-X-XX_1x02_1.3mm",""
"R5","1k","mylib:R_0402_NoSilk_F.Mask",""
"C1","2200p","mylib:C_0402_NoSilk_F.Mask",""
"L1","B82498F1372J","mylib2:SIMID0805","","Epcos B82498F Series Wire-wound SMD Inductor with a Ferrite Core, 1 H 5% 240mA Idc Q:20","RS","4961167","EPCOS","B82498F1102J",""
"R7","470","mylib:R_0402_NoSilk_F.Mask",""
"IC3","LTC5507ES6#TRMPBF","mylib2:SOT95P280X100-6N_small","http://docs-europe.electrocomponents.com/webdocs/05b0/0900766b805b01fd.pdf","LTC5507ES6#TRMPBF, RF Controller 6-Pin TSOT-23","RS","5062097","Linear Technology","LTC5507ES6#TRMPBF","1"
"Q2","BU5265HFV-TR","mylib2:HVSOF5_longpad","http://rohmfs.rohm.com/en/products/databook/datasheet/ic/amp_linear/comparator/bu5265xxx-e.pdf","Analog Comparators 4V Drive Nch MOSFET","RS","","ROHM Semiconductor","BU5265HFV-TR",""
"C8","10n","mylib:C_0402_NoSilk_F.Mask",""
"C4","100p","mylib:C_0402_NoSilk_F.Mask",""
"R10","22k","mylib:R_0402_NoSilk_F.Mask",""
"R12","470k","mylib:R_0402_NoSilk_F.Mask",""
"C10","10u","mylib:C_0402_NoSilk_F.Mask",""
"C6","0.1u","mylib:C_0402_NoSilk_F.Mask",""
"R6","1.8k","mylib:R_0402_NoSilk_F.Mask",""
"C2","220p","mylib:C_0402_NoSilk_F.Mask",""
"L2","B82498F1372J","mylib2:SIMID0805","","Epcos B82498F Series Wire-wound SMD Inductor with a Ferrite Core, 1 H 5% 240mA Idc Q:20","RS","4961167","EPCOS","B82498F1102J",""
"R8","100","mylib:R_0402_NoSilk_F.Mask",""
"L3","47u","mylib:L_0603_F.Mask",""
"C11","0.1u","mylib:C_0402_NoSilk_F.Mask",""
"C12","0.1u","mylib:C_0402_NoSilk_F.Mask",""
